,White,Black,Hispanic,Male,Female
2019,77,16.2,3.2,74.6,25.4
2020,78.7,15.9,2.5,75.5,24.5
2021,78.1,17.1,2.2,76.8,23.2
2022,77.2,17.5,2.3,75.2,24.8
2023,77.1,16.6,3.3,75.2,24.8
2024,74,18.5,4,73.1,26.9
2025,75.1,17.4,3.6,74.4,25.6
