,White,Black,Hispanic,Male,Female
2019,6006,1264,250,5819,1981
2020,4328,875,138,4126,1348
2021,3593,787,101,3533,1067
2022,4169,945,124,4061,1339
2023,4241,913,192,4136,1364
2024,3700,925,200,3655,1345
2025,4359,1009,209,4315,1485
